Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
Fully Paid,220506.0,Short Term,738.0,761748.0,7 years,Rent,Debt Consolidation,7807.86,13.5,10.0,1.0,92929.0,280214.0,1.0,0.0
Fully Paid,429880.0,Short Term,749.0,3415592.0,4 years,Home Mortgage,Debt Consolidation,33586.68,22.0,18.0,0.0,351500.0,987888.0,0.0,0.0
Fully Paid,324368.0,Short Term,738.0,1120506.0,< 1 year,Rent,Debt Consolidation,12512.26,10.5,6.0,0.0,170088.0,339548.0,0.0,0.0
Fully Paid,405548.0,Short Term,735.0,3307843.0,10+ years,Home Mortgage,Debt Consolidation,24312.59,19.9,9.0,0.0,487046.0,671374.0,0.0,0.0
Fully Paid,454652.0,Short Term,733.0,1015151.0,10+ years,Rent,Debt Consolidation,15988.69,13.5,37.0,0.0,438995.0,729256.0,0.0,0.0
Charged Off,174130.0,Short Term,652.0,512601.0,9 years,Rent,other,9184.03,20.1,10.0,0.0,168910.0,263230.0,0.0,0.0
Fully Paid,99999999.0,Short Term,741.0,3484429.0,10+ years,Rent,Debt Consolidation,49072.25,19.5,15.0,0.0,806189.0,1218646.0,0.0,0.0
Fully Paid,142582.0,Short Term,709.0,1674812.0,3 years,Home Mortgage,Other,9909.45,32.3,7.0,2.0,72941.0,161172.0,0.0,2.0
Charged Off,242132.0,Short Term,723.0,725686.0,8 years,Rent,Debt Consolidation,11610.9,10.9,13.0,0.0,174724.0,338294.0,0.0,0.0
Fully Paid,99999999.0,Long Term,740.0,2500685.0,10+ years,Home Mortgage,Debt Consolidation,16129.48,18.4,12.0,0.0,206948.0,339394.0,0.0,0.0
Charged Off,404074.0,Short Term,7200.0,2042766.0,10+ years,Home Mortgage,Home Improvements,39833.88,13.4,11.0,0.0,112062.0,149138.0,0.0,0.0
Fully Paid,349668.0,Long Term,729.0,972040.0,10+ years,Rent,Debt Consolidation,25516.24,19.3,9.0,0.0,231534.0,384648.0,0.0,0.0
Fully Paid,99999999.0,Short Term,741.0,1509056.0,10+ years,Rent,Debt Consolidation,16725.51,18.0,7.0,1.0,96159.0,135454.0,1.0,0.0
Fully Paid,274428.0,Short Term,723.0,766080.0,6 years,Rent,Debt Consolidation,15002.4,23.1,11.0,1.0,124564.0,215270.0,1.0,0.0
Fully Paid,120098.0,Short Term,732.0,377150.0,8 years,Rent,Medical Bills,8485.97,11.5,10.0,0.0,116546.0,308088.0,0.0,0.0
Charged Off,400752.0,Short Term,691.0,1192136.0,10+ years,Rent,Debt Consolidation,27021.61,21.0,16.0,0.0,189050.0,351934.0,0.0,0.0
Fully Paid,99999999.0,Short Term,737.0,726978.0,5 years,Own Home,Debt Consolidation,10177.73,15.3,4.0,0.0,178429.0,316888.0,0.0,0.0
Fully Paid,99999999.0,Long Term,660.0,1360457.0,10+ years,Rent,Debt Consolidation,15645.17,20.7,6.0,0.0,126768.0,198110.0,0.0,0.0
Charged Off,218614.0,Short Term,714.0,1798141.0,10+ years,Rent,Debt Consolidation,11088.4,17.0,5.0,0.0,30704.0,96338.0,0.0,0.0
Fully Paid,455620.0,Long Term,724.0,1545878.0,10+ years,Own Home,Debt Consolidation,26151.03,27.0,7.0,0.0,710999.0,900724.0,0.0,0.0
Charged Off,729806.0,Short Term,669.0,2320622.0,9 years,Rent,Debt Consolidation,37709.87,27.3,14.0,1.0,499947.0,715572.0,1.0,0.0
Fully Paid,99999999.0,Short Term,746.0,963490.0,5 years,Rent,Debt Consolidation,6608.01,19.8,10.0,0.0,227183.0,1179662.0,0.0,0.0
Fully Paid,99999999.0,Short Term,751.0,2303028.0,7 years,Home Mortgage,Home Improvements,30898.94,14.7,16.0,0.0,74062.0,675246.0,0.0,0.0
Fully Paid,324324.0,Short Term,743.0,1983828.0,10+ years,Home Mortgage,Debt Consolidation,21160.87,17.5,9.0,0.0,743527.0,896786.0,0.0,0.0
Fully Paid,283206.0,Short Term,748.0,1279346.0,10+ years,Home Mortgage,Debt Consolidation,25053.78,19.1,13.0,0.0,337915.0,891264.0,0.0,0.0
Fully Paid,237622.0,Short Term,745.0,1212656.0,9 years,Home Mortgage,Debt Consolidation,7255.72,16.4,7.0,1.0,192831.0,427746.0,1.0,0.0
Fully Paid,99999999.0,Long Term,651.0,3727420.0,6 years,Own Home,Debt Consolidation,41001.62,14.6,8.0,0.0,689605.0,882310.0,0.0,0.0
Fully Paid,263032.0,Long Term,718.0,1060067.0,3 years,Rent,Debt Consolidation,13074.09,15.7,10.0,1.0,213332.0,484352.0,1.0,0.0
Fully Paid,226006.0,Long Term,701.0,1501456.0,10+ years,Rent,other,17516.86,14.0,10.0,0.0,171931.0,247610.0,0.0,0.0
Fully Paid,199298.0,Short Term,748.0,1686896.0,2 years,Own Home,Debt Consolidation,14338.73,17.9,9.0,1.0,134349.0,383174.0,1.0,0.0
Charged Off,338162.0,Short Term,737.0,973465.0,< 1 year,Home Mortgage,Debt Consolidation,18090.28,25.0,13.0,0.0,100586.0,718894.0,0.0,0.0
Charged Off,359788.0,Long Term,737.0,2140388.0,2 years,Home Mortgage,Debt Consolidation,16659.39,12.7,10.0,0.0,451212.0,838618.0,0.0,0.0
Fully Paid,336116.0,Short Term,740.0,580545.0,10+ years,Rent,Debt Consolidation,4567.03,18.2,6.0,0.0,201571.0,443696.0,0.0,0.0
Fully Paid,99999999.0,Long Term,655.0,730113.0,8 years,Home Mortgage,Debt Consolidation,9126.46,16.7,5.0,0.0,110713.0,133386.0,0.0,0.0
Fully Paid,514294.0,Short Term,722.0,1359374.0,10+ years,Home Mortgage,Debt Consolidation,30133.05,17.5,10.0,0.0,386365.0,524480.0,0.0,0.0
Fully Paid,336116.0,Short Term,728.0,928872.0,2 years,Own Home,Debt Consolidation,11456.05,24.0,13.0,1.0,185630.0,468314.0,1.0,0.0
Fully Paid,133606.0,Short Term,742.0,1269181.0,4 years,Home Mortgage,Debt Consolidation,15864.62,8.4,8.0,0.0,100035.0,202488.0,0.0,0.0
Fully Paid,760606.0,Short Term,684.0,2721389.0,10+ years,Home Mortgage,Debt Consolidation,55108.17,14.3,11.0,0.0,890549.0,1073028.0,0.0,0.0
Fully Paid,99999999.0,Short Term,737.0,490599.0,4 years,Own Home,Home Improvements,4374.37,15.2,8.0,0.0,165984.0,458700.0,0.0,0.0
Fully Paid,771012.0,Long Term,642.0,2092717.0,3 years,Home Mortgage,Other,29123.58,21.5,10.0,1.0,89927.0,290862.0,1.0,0.0
Fully Paid,99999999.0,Long Term,624.0,1688055.0,8 years,Home Mortgage,Home Improvements,20622.41,15.5,9.0,1.0,532760.0,633336.0,1.0,0.0
Fully Paid,397980.0,Short Term,739.0,954750.0,8 years,Rent,Debt Consolidation,16708.22,13.0,8.0,0.0,209855.0,272118.0,0.0,0.0
Fully Paid,82060.0,Short Term,713.0,819489.0,2 years,Rent,Debt Consolidation,7853.46,9.2,9.0,0.0,38228.0,258852.0,0.0,0.0
Fully Paid,540826.0,Long Term,685.0,2432722.0,6 years,Own Home,Debt Consolidation,19461.7,12.6,11.0,1.0,384750.0,1325918.0,1.0,0.0
Fully Paid,430100.0,Short Term,738.0,1541527.0,2 years,Home Mortgage,Debt Consolidation,18626.65,16.5,15.0,1.0,288857.0,714670.0,1.0,0.0
Fully Paid,178838.0,Short Term,717.0,926687.0,6 years,Home Mortgage,Debt Consolidation,15444.72,15.7,9.0,0.0,105545.0,209968.0,0.0,0.0
Fully Paid,99999999.0,Short Term,750.0,840807.0,1 year,Rent,Debt Consolidation,9003.72,11.6,7.0,0.0,7999.0,54142.0,0.0,0.0
Fully Paid,44088.0,Short Term,670.0,799444.0,< 1 year,Rent,Debt Consolidation,666.14,8.5,5.0,0.0,1501.0,435292.0,0.0,0.0
Fully Paid,208758.0,Short Term,663.0,751184.0,3 years,Rent,Debt Consolidation,16713.92,10.0,19.0,0.0,292619.0,515724.0,0.0,0.0
Charged Off,143396.0,Short Term,651.0,407987.0,2 years,Rent,Buy a Car,9281.5,6.0,12.0,0.0,41078.0,190982.0,0.0,0.0
Fully Paid,785334.0,Long Term,699.0,2364132.0,2 years,Home Mortgage,Debt Consolidation,10146.0,22.5,17.0,3.0,62548.0,624404.0,0.0,3.0
Charged Off,100672.0,Short Term,749.0,766194.0,< 1 year,Home Mortgage,Buy a Car,7438.5,15.8,10.0,0.0,16207.0,178728.0,0.0,0.0
Charged Off,468732.0,Short Term,692.0,1012035.0,7 years,Rent,Debt Consolidation,23276.9,12.9,14.0,0.0,374737.0,637164.0,0.0,0.0
Fully Paid,99999999.0,Short Term,741.0,1837794.0,2 years,Home Mortgage,Business Loan,7780.12,18.1,14.0,0.0,148542.0,1211254.0,0.0,0.0
Fully Paid,650496.0,Short Term,739.0,2434432.0,3 years,Own Home,Debt Consolidation,17913.39,17.7,11.0,0.0,509751.0,1148312.0,0.0,0.0
Fully Paid,470338.0,Short Term,746.0,1155048.0,7 years,Home Mortgage,Debt Consolidation,23004.63,20.5,13.0,0.0,775960.0,1520266.0,0.0,0.0
Charged Off,271810.0,Short Term,735.0,715065.0,7 years,Home Mortgage,Debt Consolidation,9951.25,16.2,9.0,0.0,105393.0,246048.0,0.0,0.0
Charged Off,769472.0,Short Term,733.0,1872089.0,3 years,Home Mortgage,Debt Consolidation,23244.98,14.8,8.0,1.0,303886.0,943338.0,0.0,1.0
Fully Paid,74888.0,Short Term,750.0,760988.0,< 1 year,Rent,Other,11161.17,18.5,14.0,0.0,17518.0,235906.0,0.0,0.0
Fully Paid,99999999.0,Short Term,747.0,1414322.0,8 years,Home Mortgage,Debt Consolidation,15203.8,14.2,12.0,0.0,405251.0,1251294.0,0.0,0.0
Fully Paid,291632.0,Short Term,734.0,2228054.0,8 years,Home Mortgage,Debt Consolidation,13331.16,13.5,8.0,1.0,141835.0,338624.0,1.0,0.0
Fully Paid,322366.0,Short Term,708.0,1682089.0,10+ years,Rent,Debt Consolidation,22988.67,17.4,8.0,0.0,585637.0,747648.0,0.0,0.0
Fully Paid,99999999.0,Short Term,663.0,1407197.0,6 years,Home Mortgage,Debt Consolidation,26267.5,12.5,11.0,0.0,285589.0,367004.0,0.0,0.0
Fully Paid,99999999.0,Short Term,736.0,558999.0,1 year,Own Home,Debt Consolidation,7639.71,5.5,10.0,0.0,107635.0,416790.0,0.0,0.0
Fully Paid,142934.0,Short Term,738.0,787303.0,5 years,Rent,Debt Consolidation,6495.34,18.5,6.0,1.0,135869.0,228690.0,1.0,0.0
Fully Paid,323378.0,Short Term,748.0,1787330.0,< 1 year,Rent,Debt Consolidation,29193.12,18.5,19.0,0.0,269116.0,1558084.0,0.0,0.0
Fully Paid,143286.0,Short Term,751.0,573363.0,< 1 year,Rent,Debt Consolidation,3440.14,25.7,7.0,0.0,116717.0,387244.0,0.0,0.0
Fully Paid,99999999.0,Short Term,747.0,1056609.0,6 years,Home Mortgage,Debt Consolidation,9949.73,15.1,19.0,0.0,102923.0,902924.0,0.0,0.0
Fully Paid,424072.0,Short Term,711.0,1542040.0,4 years,Home Mortgage,Debt Consolidation,28784.62,14.2,8.0,0.0,89262.0,229680.0,0.0,0.0
Fully Paid,268928.0,Long Term,738.0,1664552.0,5 years,Own Home,Buy a Car,2607.75,22.5,6.0,0.0,134463.0,828146.0,0.0,0.0
Fully Paid,121770.0,Short Term,677.0,688370.0,5 years,Rent,Debt Consolidation,5604.62,12.7,8.0,0.0,101365.0,128414.0,0.0,0.0
Charged Off,112618.0,Short Term,7360.0,1458782.0,5 years,Rent,Debt Consolidation,33430.12,15.0,19.0,1.0,182286.0,247742.0,0.0,0.0
Fully Paid,653730.0,Long Term,706.0,1260916.0,5 years,Home Mortgage,Debt Consolidation,32048.06,22.6,12.0,0.0,524248.0,856196.0,0.0,0.0
Charged Off,21450.0,Short Term,694.0,1132381.0,10+ years,HaveMortgage,Take a Trip,21987.18,27.2,12.0,0.0,339511.0,568898.0,0.0,0.0
Fully Paid,122430.0,Short Term,732.0,1307371.0,10+ years,Home Mortgage,Debt Consolidation,23641.7,18.0,11.0,0.0,272479.0,460570.0,0.0,0.0
Fully Paid,611996.0,Short Term,748.0,1472367.0,10+ years,Own Home,Home Improvements,29815.37,23.4,7.0,0.0,366624.0,1144220.0,0.0,0.0
Fully Paid,762300.0,Long Term,707.0,1641182.0,3 years,Rent,Debt Consolidation,35832.29,38.5,21.0,1.0,693500.0,2517262.0,0.0,0.0
Charged Off,554400.0,Short Term,735.0,2655953.0,10+ years,Rent,Debt Consolidation,53340.6,13.4,18.0,0.0,967461.0,1637746.0,0.0,0.0
Fully Paid,360514.0,Short Term,738.0,1148132.0,2 years,Own Home,Home Improvements,18274.39,34.9,6.0,0.0,212952.0,412324.0,0.0,0.0
Charged Off,547492.0,Long Term,6520.0,1410047.0,2 years,Home Mortgage,Debt Consolidation,21268.03,30.8,11.0,0.0,542678.0,1322860.0,0.0,0.0
Fully Paid,99999999.0,Short Term,740.0,929233.0,3 years,Own Home,Debt Consolidation,7976.01,12.5,6.0,0.0,206264.0,271106.0,0.0,0.0
Fully Paid,108988.0,Short Term,751.0,1167037.0,10+ years,Home Mortgage,Other,12545.7,21.5,5.0,0.0,428868.0,680262.0,0.0,0.0
Charged Off,132440.0,Short Term,731.0,1060751.0,3 years,Home Mortgage,Debt Consolidation,24662.57,19.1,10.0,1.0,280288.0,388674.0,0.0,1.0
Fully Paid,99999999.0,Short Term,731.0,960659.0,5 years,Home Mortgage,Other,4931.45,14.8,9.0,1.0,149492.0,409200.0,0.0,0.0
Fully Paid,33792.0,Short Term,745.0,622782.0,2 years,Rent,other,1266.16,9.5,4.0,0.0,8759.0,74558.0,0.0,0.0
Fully Paid,265188.0,Short Term,709.0,830224.0,3 years,Rent,Debt Consolidation,18541.53,16.8,9.0,0.0,222946.0,614614.0,0.0,0.0
Fully Paid,216810.0,Short Term,725.0,652973.0,8 years,Home Mortgage,Debt Consolidation,9087.32,9.3,15.0,0.0,200773.0,710908.0,0.0,0.0
Fully Paid,266398.0,Short Term,740.0,2300748.0,4 years,Rent,Debt Consolidation,18636.15,45.8,12.0,0.0,331398.0,477290.0,0.0,0.0
Charged Off,349844.0,Short Term,748.0,1472956.0,1 year,Home Mortgage,Debt Consolidation,33632.66,18.9,13.0,0.0,152190.0,466180.0,0.0,0.0
Charged Off,193468.0,Short Term,739.0,1002497.0,10+ years,Home Mortgage,Debt Consolidation,24060.08,20.5,14.0,0.0,164407.0,229922.0,0.0,0.0
Fully Paid,445060.0,Short Term,748.0,1921850.0,5 years,Home Mortgage,Debt Consolidation,13757.14,22.6,11.0,0.0,279262.0,614746.0,0.0,0.0
Fully Paid,764302.0,Short Term,739.0,1941420.0,10+ years,Rent,Debt Consolidation,37210.55,18.2,16.0,0.0,439679.0,1298704.0,0.0,0.0
Fully Paid,451550.0,Long Term,676.0,2042766.0,9 years,Rent,Debt Consolidation,32513.94,24.0,20.0,0.0,856330.0,1404436.0,0.0,0.0
Charged Off,329186.0,Short Term,7280.0,1971060.0,3 years,Home Mortgage,Debt Consolidation,28629.58,13.9,13.0,0.0,333944.0,562012.0,0.0,0.0
Fully Paid,99999999.0,Short Term,715.0,712690.0,8 years,Home Mortgage,Debt Consolidation,5024.36,12.0,8.0,1.0,143564.0,243386.0,1.0,0.0
Fully Paid,99999999.0,Short Term,736.0,928720.0,3 years,Rent,other,7894.12,17.5,7.0,0.0,50996.0,96778.0,0.0,0.0
Fully Paid,99999999.0,Short Term,751.0,1709316.0,6 years,Home Mortgage,Debt Consolidation,3034.11,24.5,6.0,0.0,80408.0,222222.0,0.0,0.0
Fully Paid,99999999.0,Long Term,638.0,693443.0,8 years,Own Home,Debt Consolidation,8899.03,19.2,9.0,0.0,394364.0,685630.0,0.0,0.0
Fully Paid,107448.0,Short Term,719.0,843543.0,3 years,Home Mortgage,Debt Consolidation,13988.75,18.6,12.0,0.0,86051.0,128084.0,0.0,0.0
Fully Paid,99999999.0,Long Term,731.0,986822.0,7 years,Home Mortgage,Debt Consolidation,7368.2,15.5,7.0,0.0,298034.0,513546.0,0.0,0.0
Fully Paid,337920.0,Long Term,724.0,1070080.0,10+ years,Home Mortgage,Debt Consolidation,14802.71,17.7,8.0,0.0,296932.0,360404.0,0.0,0.0
Fully Paid,150260.0,Short Term,692.0,1575765.0,10+ years,Rent,Debt Consolidation,13262.76,15.0,14.0,1.0,149435.0,272492.0,1.0,0.0
Fully Paid,279422.0,Short Term,746.0,1340640.0,10+ years,Home Mortgage,Debt Consolidation,13406.4,13.0,6.0,0.0,333944.0,448074.0,0.0,0.0
Charged Off,330242.0,Long Term,729.0,840389.0,1 year,Rent,Debt Consolidation,13446.3,12.9,9.0,0.0,223592.0,541640.0,0.0,0.0
Charged Off,405790.0,Long Term,6960.0,1752237.0,2 years,Rent,Debt Consolidation,13448.39,19.4,7.0,0.0,150518.0,209726.0,0.0,0.0
Fully Paid,315062.0,Short Term,742.0,1019540.0,9 years,Home Mortgage,Debt Consolidation,17927.07,19.0,10.0,0.0,214092.0,612062.0,0.0,0.0
Fully Paid,719158.0,Short Term,722.0,1242201.0,10+ years,Home Mortgage,Debt Consolidation,24015.62,22.6,9.0,0.0,139270.0,463408.0,0.0,0.0
Fully Paid,265980.0,Short Term,738.0,1225120.0,4 years,Own Home,Debt Consolidation,21643.85,11.6,8.0,0.0,304361.0,638440.0,0.0,0.0
Charged Off,267168.0,Long Term,7270.0,1499784.0,2 years,Rent,Debt Consolidation,9323.68,11.0,11.0,0.0,210653.0,377014.0,0.0,0.0
Fully Paid,308374.0,Short Term,682.0,2827808.0,3 years,Rent,Other,4807.38,14.7,3.0,0.0,194256.0,238766.0,0.0,0.0
Fully Paid,561550.0,Short Term,654.0,1745910.0,10+ years,Rent,Debt Consolidation,44957.23,17.0,11.0,0.0,530936.0,662442.0,0.0,0.0
Fully Paid,99999999.0,Short Term,708.0,634068.0,9 years,Home Mortgage,other,2076.51,14.8,3.0,0.0,115140.0,163966.0,0.0,0.0
Fully Paid,318868.0,Short Term,745.0,2103585.0,10+ years,Home Mortgage,Debt Consolidation,18055.89,39.7,12.0,0.0,447621.0,1727660.0,0.0,0.0
Fully Paid,221738.0,Short Term,750.0,1821473.0,3 years,Own Home,Debt Consolidation,24286.37,12.0,12.0,0.0,214358.0,397122.0,0.0,0.0
Fully Paid,173360.0,Short Term,751.0,1010610.0,1 year,Rent,Debt Consolidation,10274.63,15.2,6.0,0.0,338333.0,671968.0,0.0,0.0
Charged Off,452122.0,Long Term,707.0,1416450.0,7 years,Home Mortgage,Debt Consolidation,10953.88,20.9,11.0,0.0,320549.0,653466.0,0.0,0.0
Fully Paid,99999999.0,Short Term,737.0,764712.0,4 years,Home Mortgage,Debt Consolidation,10514.79,19.9,9.0,1.0,185611.0,472340.0,1.0,0.0
Charged Off,429858.0,Long Term,613.0,1435735.0,8 years,Rent,Debt Consolidation,10684.27,27.6,7.0,2.0,129732.0,300432.0,0.0,2.0
Charged Off,225456.0,Short Term,738.0,681492.0,10+ years,Home Mortgage,Debt Consolidation,13118.74,17.0,15.0,0.0,226841.0,899492.0,0.0,0.0
Fully Paid,70004.0,Short Term,739.0,1055773.0,2 years,Rent,Debt Consolidation,8041.37,8.1,8.0,0.0,101460.0,621632.0,0.0,0.0
Fully Paid,99999999.0,Long Term,729.0,1815108.0,10+ years,Home Mortgage,Debt Consolidation,28436.54,15.4,7.0,0.0,207119.0,701206.0,0.0,0.0
Fully Paid,520850.0,Long Term,635.0,938125.0,6 years,Home Mortgage,Home Improvements,11335.78,21.4,7.0,0.0,22648.0,52140.0,0.0,0.0
Fully Paid,542916.0,Short Term,747.0,1802302.0,10+ years,Home Mortgage,Debt Consolidation,33642.92,19.7,12.0,0.0,375611.0,857824.0,0.0,0.0
Fully Paid,781704.0,Short Term,716.0,1735992.0,1 year,Rent,Debt Consolidation,30235.27,32.0,21.0,0.0,736136.0,1198846.0,0.0,0.0
Fully Paid,195030.0,Short Term,737.0,860890.0,3 years,Rent,Business Loan,6528.4,19.0,5.0,0.0,96311.0,194964.0,0.0,0.0
Charged Off,65010.0,Short Term,726.0,711094.0,2 years,Rent,Debt Consolidation,4942.09,16.1,5.0,0.0,43776.0,62788.0,0.0,0.0
Charged Off,138908.0,Short Term,718.0,1405905.0,10+ years,Home Mortgage,Debt Consolidation,17105.13,18.1,9.0,0.0,543818.0,803176.0,0.0,0.0
Fully Paid,99999999.0,Short Term,745.0,1338322.0,10+ years,Home Mortgage,Debt Consolidation,13048.63,15.0,10.0,0.0,76380.0,337546.0,0.0,0.0
Fully Paid,545226.0,Short Term,738.0,1600959.0,6 years,Rent,Debt Consolidation,24014.29,19.8,6.0,0.0,782154.0,1186944.0,0.0,0.0
Fully Paid,500104.0,Long Term,724.0,1233993.0,10+ years,Home Mortgage,Debt Consolidation,9254.9,13.5,10.0,0.0,233016.0,442288.0,0.0,0.0
Fully Paid,288420.0,Long Term,737.0,972990.0,1 year,Home Mortgage,Debt Consolidation,5448.82,14.9,7.0,0.0,233358.0,552574.0,0.0,0.0
Fully Paid,84150.0,Short Term,740.0,493943.0,3 years,Home Mortgage,Debt Consolidation,4635.05,10.9,7.0,0.0,103379.0,129822.0,0.0,0.0
Fully Paid,779702.0,Long Term,692.0,2116334.0,10+ years,Home Mortgage,Debt Consolidation,40739.42,20.5,8.0,0.0,179645.0,321002.0,0.0,0.0
Fully Paid,698786.0,Long Term,721.0,2284560.0,4 years,Home Mortgage,Debt Consolidation,35791.44,26.7,13.0,0.0,1488099.0,2081002.0,0.0,0.0
Fully Paid,99999999.0,Short Term,695.0,670396.0,10+ years,Home Mortgage,Debt Consolidation,17877.48,16.1,19.0,0.0,451687.0,901714.0,0.0,0.0
Fully Paid,522192.0,Short Term,734.0,1148702.0,10+ years,Rent,Debt Consolidation,19240.92,39.5,5.0,0.0,335274.0,481646.0,0.0,0.0
Fully Paid,179674.0,Short Term,748.0,1260821.0,6 years,Rent,Debt Consolidation,2038.32,20.0,5.0,0.0,74575.0,337348.0,0.0,0.0
Fully Paid,443872.0,Short Term,687.0,1629212.0,3 years,Home Mortgage,Home Improvements,5539.26,10.2,6.0,0.0,0.0,0.0,0.0,0.0
Fully Paid,135168.0,Short Term,743.0,933888.0,3 years,Rent,Debt Consolidation,12918.86,12.2,7.0,0.0,219906.0,324390.0,0.0,0.0
Fully Paid,111584.0,Short Term,742.0,770868.0,< 1 year,Rent,Debt Consolidation,8993.46,17.5,6.0,1.0,83733.0,153912.0,1.0,0.0
Fully Paid,328350.0,Short Term,737.0,2457650.0,10+ years,Rent,Debt Consolidation,13988.18,9.6,12.0,0.0,345591.0,692296.0,0.0,0.0
Fully Paid,64658.0,Short Term,731.0,912190.0,6 years,Own Home,Home Improvements,10216.49,8.3,6.0,0.0,11001.0,49588.0,0.0,0.0
Fully Paid,99999999.0,Short Term,727.0,928017.0,2 years,Rent,Debt Consolidation,14693.65,18.9,16.0,1.0,244340.0,656414.0,1.0,0.0
Fully Paid,266816.0,Long Term,702.0,1382630.0,5 years,Rent,Debt Consolidation,15116.78,17.4,10.0,0.0,324140.0,388916.0,0.0,0.0
Fully Paid,347842.0,Short Term,724.0,797981.0,10+ years,Rent,Debt Consolidation,14097.43,15.0,10.0,0.0,245328.0,365112.0,0.0,0.0
Charged Off,111672.0,Short Term,682.0,1253772.0,8 years,Rent,other,14209.53,13.8,12.0,0.0,125875.0,403766.0,0.0,0.0
Charged Off,197384.0,Short Term,705.0,833416.0,8 years,Own Home,Debt Consolidation,4264.17,26.0,11.0,0.0,109402.0,164516.0,0.0,0.0
Fully Paid,200860.0,Short Term,728.0,811414.0,< 1 year,Rent,Debt Consolidation,15619.9,12.9,12.0,0.0,171741.0,254298.0,0.0,0.0
Fully Paid,270094.0,Short Term,747.0,1166334.0,4 years,Home Mortgage,Debt Consolidation,28866.7,12.8,16.0,0.0,207309.0,754886.0,0.0,0.0
Charged Off,303248.0,Short Term,738.0,802864.0,10+ years,Home Mortgage,Debt Consolidation,21008.3,21.0,17.0,0.0,679250.0,1198912.0,0.0,0.0
Fully Paid,99999999.0,Long Term,690.0,949905.0,4 years,Rent,Debt Consolidation,12111.36,12.5,9.0,0.0,144438.0,235224.0,0.0,0.0
Fully Paid,210320.0,Short Term,716.0,1229813.0,10+ years,Home Mortgage,small_business,12298.13,19.8,24.0,0.0,432763.0,883762.0,0.0,0.0
Fully Paid,344564.0,Short Term,732.0,2901452.0,2 years,Rent,Debt Consolidation,16151.52,18.7,11.0,3.0,234935.0,359832.0,1.0,1.0
Fully Paid,429132.0,Short Term,750.0,1760426.0,< 1 year,Home Mortgage,Debt Consolidation,28459.91,11.9,15.0,0.0,301378.0,636812.0,0.0,0.0
Fully Paid,134794.0,Short Term,740.0,1164054.0,< 1 year,Home Mortgage,Debt Consolidation,22505.12,23.3,13.0,0.0,215954.0,464794.0,0.0,0.0
Charged Off,134926.0,Short Term,742.0,1068104.0,5 years,Rent,other,12968.45,17.0,8.0,0.0,110922.0,141614.0,0.0,0.0
Charged Off,449724.0,Short Term,741.0,1903154.0,10+ years,Home Mortgage,Debt Consolidation,46627.14,13.3,17.0,0.0,494874.0,708290.0,0.0,0.0
Fully Paid,123618.0,Long Term,659.0,1261676.0,1 year,Own Home,Debt Consolidation,11355.16,15.8,8.0,0.0,51794.0,134772.0,0.0,0.0
Charged Off,269500.0,Short Term,725.0,1551616.0,10+ years,Home Mortgage,other,15904.14,16.5,7.0,0.0,313006.0,428890.0,0.0,0.0
Fully Paid,711678.0,Short Term,716.0,4379215.0,< 1 year,Home Mortgage,Home Improvements,32114.18,26.1,19.0,0.0,1959071.0,6164114.0,0.0,0.0
Charged Off,23606.0,Short Term,726.0,819242.0,2 years,Rent,Debt Consolidation,15633.96,12.9,13.0,0.0,129599.0,287452.0,0.0,0.0
Fully Paid,99999999.0,Long Term,676.0,1235741.0,10+ years,Home Mortgage,Debt Consolidation,26568.46,26.5,12.0,0.0,252871.0,603702.0,0.0,0.0
Fully Paid,133540.0,Short Term,723.0,2114453.0,10+ years,Home Mortgage,Other,24316.2,27.7,4.0,1.0,64752.0,170434.0,1.0,0.0
Fully Paid,236148.0,Short Term,747.0,1946721.0,1 year,Home Mortgage,Debt Consolidation,7024.49,19.7,12.0,0.0,98211.0,562936.0,0.0,0.0
Fully Paid,333278.0,Short Term,728.0,1535048.0,6 years,Home Mortgage,Debt Consolidation,20595.24,26.8,13.0,0.0,259806.0,417824.0,0.0,0.0
Fully Paid,240306.0,Short Term,743.0,1037723.0,10+ years,Home Mortgage,Debt Consolidation,9339.45,13.1,6.0,0.0,77691.0,145816.0,0.0,0.0
Fully Paid,56012.0,Short Term,745.0,1354339.0,10+ years,Home Mortgage,Buy a Car,8690.41,13.3,5.0,1.0,2014.0,465982.0,1.0,0.0
Fully Paid,263098.0,Short Term,741.0,948917.0,10+ years,Home Mortgage,Home Improvements,16922.16,22.7,7.0,0.0,161861.0,410102.0,0.0,0.0
Charged Off,357918.0,Short Term,739.0,869364.0,5 years,Rent,Home Improvements,4774.32,16.5,12.0,1.0,31673.0,458304.0,1.0,0.0
Fully Paid,200310.0,Short Term,711.0,1140570.0,2 years,Home Mortgage,Debt Consolidation,5113.47,13.0,10.0,0.0,209722.0,1016004.0,0.0,0.0
Charged Off,474848.0,Short Term,729.0,1864090.0,10+ years,Home Mortgage,Debt Consolidation,27029.4,16.6,10.0,0.0,405365.0,500918.0,0.0,0.0
Fully Paid,77352.0,Short Term,749.0,1870759.0,10+ years,Home Mortgage,Home Improvements,26658.14,18.7,10.0,0.0,501695.0,870914.0,0.0,0.0
